	key	key	fr
2	main_title	main_title	Créez votre indicateur du vivre mieux
3	main_subtitle	main_subtitle	Ajustez les curseurs en fonction de l'importance que chaque dimension revêt pour vous (de 0 à 10) :
4	housing_label	housing_label	Logement
5	income_label	income_label	Revenu et patrimoine
6	jobs_label	jobs_label	Travail et qualité de l'emploi
7	community_label	community_label	Liens sociaux
8	education_label	education_label	Connaissances et compétences
9	environment_label	environment_label	Qualité environnementale
10	civic_label	civic_label	Engagement civique
11	health_label	health_label	Santé
12	satisfaction_label	satisfaction_label	Bien-être subjectif
13	safety_label	safety_label	Sécurité
14	balance_label	balance_label	Équilibre travail-vie privée
15	income	income	Revenu et patrimoine
16	jobs	jobs	Travail et qualité de l'emploi
17	housing	housing	Logement
18	balance	balance	Équilibre travail-vie privée
19	health	health	Santé
20	education	education	Connaissances et compétences
21	community	community	Liens sociaux
22	civic	civic	Engagement civique
23	environment	environment	Qualité environnementale
24	safety	safety	Sécurité
25	satisfaction	satisfaction	Bien-être subjectif
26	weights_title	weights_title	Poids Sélectionnés
27	sort_by_label	sort_by_label	Trier les pays par :
28	sort_default	sort_default	Ordre par Défaut
29	sort_perf_desc	sort_perf_desc	Performance (Décroissant)
30	sort_perf_asc	sort_perf_asc	Performance (Croissant)
31	sort_name_asc	sort_name_asc	Nom (A-Z)
32	sort_name_desc	sort_name_desc	Nom (Z-A)
33	australia	australia	Australie
34	income_def	income_def	Le revenu et le patrimoine façonnent les possibilités de consommation des individus et des ménages. Le revenu après impôts et transferts indique ce dont disposent les individus pour dépenser, tandis que les mesures directes des dépenses de consommation des individus renseignent sur les conditions matérielles « réalisées » (plutôt que sur les possibilités). Le patrimoine fournit un tampon qui peut aider à lisser la consommation et permettre des investissements à plus long terme (comme dans le cas du logement).
35	jobs_def	jobs_def	Le travail fait référence à l'activité productive (qu'elle soit rémunérée ou non), et la qualité de l'emploi concerne à la fois les aspects matériels et non matériels des conditions de travail des personnes. Les aspects matériels des conditions de travail comprennent des questions telles que la rémunération (par exemple, le salaire), la disponibilité des emplois et le risque de perte d'emploi. Les aspects non matériels ont trait à la qualité de l'environnement de travail, mesurée par les auto-évaluations des travailleurs sur leur sécurité physique, le contenu de leur travail, l'adéquation entre leurs compétences et leurs capacités, l'autonomie accordée, leurs possibilités d'apprentissage, l'aménagement du temps de travail et les relations avec les collègues.
36	housing_def	housing_def	Le logement offre un abri, la sécurité, l’intimité et un espace personnel. L’endroit où les gens vivent détermine également leur accès à de nombreux services différents. Les conditions de logement varient de la qualité du logement, à l’accessibilité financière du logement, ainsi qu’aux services et aux caractéristiques des quartiers.
