	key	en	fr
1	main_title	Create your Better Life Index	Créez votre indicateur du vivre mieux
2	main_subtitle	Adjust the sliders according to how important each dimension is to you (from 0-10):	Ajustez les curseurs en fonction de l'importance que chaque dimension revêt pour vous (de 0 à 10) :
3	housing_label	Housing	Logement
4	income_label	Income and wealth	Revenu et patrimoine
5	jobs_label	Work and job quality	Travail et qualité de l'emploi
6	community_label	Social connections	Liens sociaux
7	education_label	Knowledge and skills	Connaissances et compétences
8	environment_label	Environmental quality	Qualité environnementale
9	civic_label	Civic Engagement	Engagement civique
10	health_label	Health	Santé
11	satisfaction_label	Subjective well-being	Bien-être subjectif
12	safety_label	Safety	Sécurité
13	balance_label	Work-life balance	Équilibre travail-vie privée
14	income	Income and wealth	Revenu et patrimoine
15	jobs	Work and job quality	Travail et qualité de l'emploi
16	housing	Housing	Logement
17	balance	Work-life balance	Équilibre travail-vie privée
18	health	Health	Santé
19	education	Knowledge and skills	Connaissances et compétences
20	community	Social connections	Liens sociaux
21	civic	Civic engagement	Engagement civique
22	environment	Environmental quality	Qualité environnementale
23	safety	Safety	Sécurité
24	satisfaction	Subjective well-being	Bien-être subjectif
25	weights_title	Selected Weights	Poids Sélectionnés
26	sort_by_label	Sort countries by:	Trier les pays par :
27	sort_default	Default (Original Order)	Ordre par Défaut
28	sort_perf_desc	Performance (Highest First)	Performance (Décroissant)
29	sort_perf_asc	Performance (Lowest First)	Performance (Croissant)
30	sort_name_asc	Name (A-Z)	Nom (A-Z)
31	sort_name_desc	Name (Z-A)	Nom (Z-A)
32	australia	Australia	Australie
33	income_def	Income and wealth shape households’ consumption possibilities. Income after taxes and transfers indicates what households have available to spend, while direct measures of household consumption expenditure inform about “realised” material conditions (rather than possibilities). Wealth meanwhile provides a buffer that can help to smooth consumption and enable longer-term investments (such as in housing).	Le revenu et le patrimoine façonnent les possibilités de consommation des individus et des ménages. Le revenu après impôts et transferts indique ce dont disposent les individus pour dépenser, tandis que les mesures directes des dépenses de consommation des individus renseignent sur les conditions matérielles « réalisées » (plutôt que sur les possibilités). Le patrimoine fournit un tampon qui peut aider à lisser la consommation et permettre des investissements à plus long terme (comme dans le cas du logement).
